"Vuosineljännes","Postinumero","Huoneluku","Lukumäärä","muutos","postialue_id"
"2024Q2","90550 Pyykösjärvi-Puolivälikangas   (Oulu )","Yksiöt",59,15.13,"90550"
"2024Q2","20750 Huhkola-Lauste-Vaala   (Turku )","Yksiöt",50,15.12,"20750"
"2024Q2","11120 Pohjois-Riihimäki   (Riihimäki )","Yksiöt",36,15.08,"11120"
"2024Q2","53920 Voisalmi   (Lappeenranta )","Yksiöt",74,15.08,"53920"
"2024Q2","10900 Hanko Keskus   (Hanko )","Yksiöt",20,15.07,"10900"
"2024Q2","15240 Mukkula   (Lahti )","Yksiöt",82,14.97,"15240"
"2024Q2","50170 Peitsari   (Mikkeli )","Yksiöt",42,14.95,"50170"
"2024Q2","90560 Koskela-Oulu   (Oulu )","Yksiöt",78,14.94,"90560"
"2024Q2","15950 Kiikkula   (Lahti )","Yksiöt",21,14.92,"15950"
"2024Q2","68620 Skutnäs-Västermalm   (Pietarsaari )","Yksiöt",36,14.9,"68620"
"2024Q2","74100 Iisalmi Keskus, Eteläinen   (Iisalmi )","Yksiöt",115,14.85,"74100"
"2024Q2","28100 Pori Keskus   (Pori )","Yksiöt",559,14.82,"28100"
"2024Q2","40800 Vaajakoski   (Jyväskylä )","Yksiöt",61,14.81,"40800"
"2024Q2","21420 Lieto Keskus   (Lieto )","Yksiöt",44,14.8,"21420"
"2024Q2","96440 Ounasrinne   (Rovaniemi )","Yksiöt",27,14.68,"96440"
